state,lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,trend,linearity,curvature,spikiness,KLscore,change.idx
New Hampshire,0.0243334718605666,0.644477986479653,0.89543639489512,1.15727178642612,0.31436777060134,2,88,0.748087789131612,-11.1915026241821,3.05660479208885,5.26594801119969e-05,1.27594179071456,108
New Jersey,0.0136449572255369,0.608648015109174,0.929335195570637,1.50195211136726,0.391307806465066,1,56,0.793385775522719,-11.2196622867321,1.32294417937557,1.48152258659141e-05,2.28521727789454,123
New Mexico,0.008418272128843,0.380534237758161,0.982062739559187,1.47145867939165,0.335651091704498,3,106,0.951916782239903,-13.5515843236635,1.33816664579671,6.10555860056766e-07,3.03178550925168,123
New York,0.0152389783032091,0.672715748710929,0.906172295071826,1.37951016193942,0.437144927655139,2,55,0.737021258268784,-9.64409337606238,0.0632951915765332,3.55949799510373e-05,2.09472335166494,110
North Carolina,0.0171043494208128,0.472808865477478,0.971686451611162,1.50556034335227,0.413032979587938,3,62,0.918413998565988,-12.560708854435,4.40416796543269,3.99954796643811e-06,2.19045252245905,109
North Dakota,0.0116891623873704,0.394338281449002,0.964564092095686,0.894822681899178,0.233018740136231,5,30,0.894316368205368,-4.94999370037463,-12.4729851813232,1.11493492549774e-06,5.24039561614185,48
Ohio,0.0466337996845939,0.4949147198064,0.94923035354005,1.84107228616426,0.688629085861619,2,58,0.876085187793844,-12.0493628225746,3.54937209123681,1.04870672350186e-05,2.28190991083239,109
Oklahoma,0.0078785429343094,0.500326645514388,0.950971683150967,1.35081439570438,0.426452092623017,2,37,0.873397868995463,-13.3537951298206,2.34001017281559,9.8888824735297e-06,0.974342898633789,114
Oregon,0.0255672803757425,0.487928695010099,0.959639654425488,1.41379232960716,0.507577322682753,5,73,0.904079117138662,-12.2731954685991,5.31562931038772,2.77217301339799e-06,1.97162678741731,108
Pennsylvania,0.0483772327358449,0.621108710594973,0.917130606612236,1.68918542397144,0.590883644429227,2,61,0.773814361713317,-9.92740703210876,2.09422708035832,1.85487515818201e-05,1.9388160923608,114
Rhode Island,0.015285298615418,0.603517854463372,0.940209968337398,1.36297561916874,0.470737940466792,1,57,0.797568138197199,-9.23982180347432,2.03355375578629,1.04788259876801e-05,1.30132219867967,107
South Carolina,0.0306018702793925,0.452624579289935,0.974067924995599,1.47649735067923,0.436118140878005,1,37,0.941663282107664,-12.101286078123,5.10014040835827,8.60228897448446e-07,1.99901423612276,110
South Dakota,0.004289158222406,0.471948060312135,0.968142304465892,0.994788401275009,0.227087553675114,5,59,0.922377808757215,-14.848716388077,-0.784408731690112,1.40790419488151e-06,0.514503436249606,108
Tennessee,0.0290560891187498,0.449729610961591,0.950954818082681,1.49809892559792,0.388241931826787,6,37,0.849775994208234,-10.7624991879408,6.96458419361745,8.31722845568901e-06,1.84260904941934,108
Texas,0.0050573080503329,0.618197940488051,0.932939624078687,1.03934303387604,0.224433367875247,1,110,0.85060073379384,-12.6911198065506,2.95546488980956,1.7940610585446e-05,1.04772514805365,48
Utah,0.124409775505536,0.447762010222384,0.979223119316908,1.81031259481416,0.832551003829346,3,41,0.950570594561209,-8.03329859675862,4.09997874612742,1.05807740967206e-06,2.71388881220014,110
Vermont,0.0004481241986359,0.600837921737351,0.94935060197571,0.582826844622639,0.0471882993592194,1,84,0.912336610987364,-13.3725348492206,-2.88300220513019,1.44933596411244e-06,0.122365013020525,88
Virginia,0.027527233557479,0.517990014384506,0.956293916463209,1.5429334149715,0.468323570661715,5,54,0.889915694827615,-11.7749532885469,0.724757318860722,2.71825636033379e-06,0.931836616160425,110
Washington,0.0456353749702422,0.506323150891887,0.963944566175352,1.80207469083188,0.610408872362747,5,31,0.905720365181744,-10.8028821911207,3.19114566611,2.52856154681003e-06,1.81250205771103,116
West Virginia,0.0385959399218639,0.542528768003679,0.907923840499462,1.61264916499931,0.565901756382748,2,72,0.796101698595667,-8.81516299261698,4.05539553943783,3.56851994750828e-05,1.36507397808832,115
Wisconsin,0.0214845830847551,0.521622024314787,0.959424589885861,1.33867444576832,0.335909577622664,5,66,0.921501129976072,-12.6198492947096,4.939474554011,4.15785888778786e-06,1.91613638202865,48
Wyoming,0.0103257822640256,0.330476886597808,0.990046329721816,1.20992135577063,0.338545779235326,1,51,0.981527034583585,-14.030413002733,-2.91146611294965,1.68880553285705e-08,2.26393569872573,123
