step,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Virgin Islands
27,7256.3,1100.2,8765.4,4405.8,56293.6,8487.6,6453.0,1575.2,2369.8,27713.8,15007.6,2063.7,2174.3,22730.9,11210.3,5561.3,5126.4,6813.1,7274.4,2339.7,9513.4,12711.4,17286.5,10225.6,4279.0,10387.0,1496.3,3503.2,4125.6,2387.1,15384.6,2887.9,32297.8,14802.7,1241.8,20990.7,5715.1,6073.1,21825.7,1847.1,6909.8,1435.4,10239.9,36371.8,4137.9,1159.0,13412.5,10298.2,2674.3,10696.3,938.2,3700.4,139.4
28,7243.4,1097.3,8764.9,4408.4,56334.5,8497.2,6443.6,1582.0,2365.8,27746.2,15010.0,2082.2,2179.0,22705.0,11223.2,5559.5,5119.6,6816.6,7266.0,2337.9,9519.3,12697.4,17292.5,10233.2,4283.6,10386.8,1500.2,3498.9,4136.2,2383.4,15356.8,2889.5,32314.3,14780.1,1244.0,20986.8,5716.9,6075.0,21826.7,1844.5,6911.0,1438.9,10244.5,36405.8,4125.6,1154.5,13414.9,10312.5,2701.4,10693.2,940.6,3705.4,138.5
29,7231.7,1100.4,8777.3,4414.2,56331.1,8483.6,6435.6,1573.8,2369.9,27704.9,15039.1,2102.9,2183.7,22702.3,11241.5,5559.7,5112.4,6822.0,7268.3,2341.6,9518.9,12685.8,17305.9,10238.5,4299.1,10399.5,1509.1,3501.1,4130.6,2383.2,15326.7,2894.2,32293.0,14741.3,1247.5,20988.1,5703.9,6079.2,21837.1,1846.5,6918.2,1440.6,10253.0,36377.8,4119.8,1155.3,13419.1,10313.2,2669.6,10688.3,939.1,3670.3,136.4
30,7232.9,1103.5,8755.0,4413.7,56145.1,8451.0,6412.3,1579.4,2375.9,27738.3,14959.7,2095.3,2186.6,22660.5,11294.5,5551.8,5117.5,6816.8,7263.6,2339.3,9517.6,12673.5,17296.9,10258.1,4295.7,10312.5,1503.1,3495.1,4144.7,2383.9,15263.0,2895.1,32308.2,14773.4,1245.3,20995.0,5692.0,6093.5,21802.3,1842.0,6900.7,1440.3,10296.5,36323.9,4128.3,1150.4,13398.1,10327.6,2676.6,10686.4,940.6,3697.8,134.9
31,7236.8,1106.1,8771.1,4404.0,56193.6,8454.7,6410.2,1582.9,2375.3,27832.7,14951.3,2094.3,2183.1,22673.1,11300.9,5542.1,5117.2,6806.9,7265.9,2336.2,9524.0,12657.1,17303.5,10246.7,4281.8,10369.3,1502.2,3493.3,4156.1,2380.0,15274.6,2896.3,32314.4,14757.2,1246.8,20983.1,5691.9,6093.8,21804.3,1847.2,6915.8,1440.8,10283.4,36349.1,4119.8,1148.0,13401.8,10328.0,2673.7,10690.0,939.0,3700.9,132.8
32,7249.1,1105.3,8765.1,4410.0,56235.4,8430.6,6401.6,1590.0,2376.3,27808.0,14944.0,2101.4,2185.5,22655.4,11286.4,5550.6,5103.9,6813.6,7270.0,2333.0,9520.8,12647.5,17293.4,10262.2,4274.0,10414.3,1509.7,3494.3,4161.7,2384.9,15276.0,2902.6,32252.6,14729.7,1247.7,20978.8,5674.0,6089.6,21807.3,1845.9,6906.1,1442.0,10275.5,36361.3,4125.8,1147.7,13399.0,10325.1,2670.0,10680.8,942.5,3709.4,133.3
33,7250.5,1115.9,8773.3,4398.6,56241.7,8420.2,6389.6,1576.9,2372.1,27888.8,14966.4,2105.2,2198.1,22657.9,11265.8,5538.9,5075.0,6822.4,7256.6,2332.9,9505.6,12618.0,17269.8,10235.4,4256.7,10390.7,1510.8,3494.1,4179.7,2378.9,15270.7,2894.9,32263.8,14720.4,1247.3,20952.6,5651.8,6085.2,21794.6,1849.0,6919.6,1443.8,10291.1,36282.1,4130.7,1149.3,13398.4,10330.4,2663.3,10716.5,939.8,3706.0,134.0
34,7249.2,1115.9,8828.4,4395.1,56272.3,8413.3,6383.2,1578.7,2383.1,27918.2,14969.4,2104.5,2199.4,22648.6,11269.3,5545.0,5079.3,6821.4,7269.2,2327.1,9510.5,12603.2,17255.7,10244.7,4246.7,10399.0,1515.5,3488.1,4187.6,2374.6,15295.9,2903.0,32236.7,14696.5,1250.4,20929.4,5648.5,6076.7,21770.2,1850.5,6912.1,1441.3,10276.0,36280.6,4134.2,1146.5,13393.8,10332.6,2664.3,10728.3,940.5,3692.2,134.2
35,7232.3,1117.9,8807.8,4395.9,56233.2,8409.5,6375.6,1579.8,2383.4,27948.2,14971.9,2116.6,2199.6,22611.5,11255.9,5542.6,5069.5,6813.8,7256.5,2331.7,9504.6,12582.4,17213.3,10233.1,4249.9,10400.7,1518.4,3493.9,4200.1,2376.1,15279.4,2908.1,32226.0,14670.7,1252.3,20886.9,5639.9,6064.9,21714.7,1852.8,6906.4,1442.2,10278.5,36235.4,4127.1,1145.1,13388.3,10323.1,2656.9,10698.0,939.2,3726.0,132.9
36,7228.7,1113.5,8819.6,4395.8,56177.6,8378.9,6381.5,1570.3,2376.6,27941.4,14872.0,2119.3,2202.7,22557.1,11263.1,5535.1,5050.6,6801.3,7298.4,2334.3,9526.6,12534.9,17117.7,10239.1,4255.9,10381.1,1518.8,3516.5,4216.7,2371.9,15310.7,2913.8,32198.0,14624.1,1252.5,20892.2,5630.0,6078.8,21741.5,1860.2,6918.1,1442.1,10264.5,36226.6,4130.3,1151.5,13373.5,10355.3,2658.4,10676.4,939.4,3793.6,132.1
37,7229.1,1116.1,8822.1,4385.4,56131.1,8354.7,6360.6,1562.0,2373.2,27958.4,14865.7,2119.9,2194.8,22493.0,11237.0,5525.9,5041.2,6786.0,7297.5,2326.3,9488.5,12484.1,17060.0,10239.7,4243.0,10356.5,1518.5,3508.9,4235.7,2367.9,15259.7,2913.7,32153.7,14601.2,1252.1,20828.6,5617.3,6062.1,21681.8,1853.8,6930.4,1440.0,10250.0,36180.7,4125.2,1145.1,13357.3,10341.6,2639.9,10682.7,937.4,3812.7,130.8
38,7222.2,1117.8,8827.3,4372.4,56072.0,8316.9,6347.2,1560.1,2377.9,27989.0,14860.2,2121.7,2190.2,22429.7,11215.6,5512.3,5015.1,6793.5,7270.5,2328.5,9488.7,12468.6,17024.8,10219.6,4230.0,10328.1,1511.2,3498.5,4240.7,2366.9,15233.4,2910.9,32123.1,14570.0,1252.0,20793.7,5583.5,6042.4,21678.2,1857.3,6924.9,1438.9,10242.8,36109.6,4117.2,1145.6,13344.1,10303.8,2643.1,10659.8,933.8,3832.1,131.5
39,7216.4,1113.7,8839.9,4373.1,56186.1,8300.2,6338.5,1569.1,2381.5,27986.1,14842.5,2118.5,2184.2,22426.9,11209.7,5509.2,5010.3,6785.0,7279.4,2325.6,9539.2,12467.2,16968.3,10240.3,4224.6,10319.1,1520.7,3512.8,4235.8,2366.4,15266.0,2916.2,32072.5,14575.5,1251.9,20824.4,5581.4,6016.0,21657.3,1860.1,6908.6,1440.5,10246.0,36113.1,4117.7,1143.9,13349.8,10317.0,2650.8,10668.8,938.4,3825.8,131.0
40,7203.7,1121.5,8856.6,4376.4,56162.2,8297.6,6340.5,1575.4,2382.4,27990.6,14835.1,2123.2,2185.3,22399.0,11209.9,5509.7,5014.7,6787.2,7288.1,2330.0,9550.5,12463.7,17015.0,10243.8,4219.5,10316.9,1520.1,3507.1,4249.2,2370.0,15276.4,2915.4,32084.7,14571.3,1254.0,20815.6,5574.7,6007.5,21679.2,1864.6,6901.0,1439.7,10247.8,36083.4,4113.1,1147.9,13374.5,10323.6,2648.8,10671.8,941.3,3826.6,130.8
41,7188.3,1122.5,8867.6,4372.0,56204.1,8290.6,6329.4,1581.1,2376.5,28069.2,14831.5,2123.5,2189.5,22391.4,11191.5,5504.6,4995.1,6788.8,7285.1,2328.0,9553.3,12443.0,17011.3,10223.5,4210.8,10321.3,1519.5,3506.5,4253.9,2378.7,15254.3,2921.8,32061.2,14555.0,1254.5,20776.6,5553.4,6007.3,21675.0,1867.8,6894.3,1439.5,10243.8,36045.2,4117.4,1151.2,13367.9,10329.9,2650.6,10655.4,946.1,3799.8,130.9
42,7192.8,1119.8,8875.5,4378.4,56086.2,8292.3,6327.3,1579.3,2374.5,28065.2,14855.0,2131.6,2186.4,22376.0,11166.6,5509.5,5004.0,6770.0,7287.8,2332.9,9547.0,12436.5,16874.4,10219.2,4232.5,10287.8,1518.4,3497.9,4281.7,2381.6,15309.1,2927.9,32022.7,14476.6,1253.2,20764.1,5573.7,6008.4,21636.7,1871.5,6902.3,1442.7,10216.4,36027.1,4127.0,1151.2,13396.2,10339.3,2652.4,10619.6,946.8,3837.0,131.3
