Location,Sample ID,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration,RI Concentration,DI Concentration,SR Concentration
L8,90-100 cm,3365,46145,173812,0,0,11472,35374,2664,46,62,217,25869,0,22,19,47,7,0,73,81,19,287,8,0,0,0,0,0,235,5,0,11,0,0,0,704672,4.2648016567014135,2.8910271680011146,9.282229965156795
L9,0-10 cm,0,48750,208260,0,0,12826,4125,3087,42,60,231,19920,0,16,14,41,6,0,65,56,16,367,9,0,0,0,0,0,208,4,0,12,9,0,0,705354,4.83698761823082,3.543280748384843,8.411444141689373
L9,10-20 cm,3831,48664,202990,0,0,11559,3764,2747,0,49,231,19584,0,19,14,38,7,0,61,53,15,377,8,2,0,0,0,0,275,0,0,11,0,0,0,709120,4.722919809754247,3.487179861323593,7.286472148541114
L9,20-30 cm,0,52545,200948,0,0,12433,4426,3054,41,68,235,24806,0,22,17,47,7,0,74,57,18,343,9,0,0,0,0,0,343,5,0,12,0,0,0,704816,4.330081028764389,3.0741324102377225,8.903790087463557
L9,30-40 cm,0,52702,193913,0,0,11147,5035,2831,53,65,201,25505,0,23,14,47,7,0,72,56,17,273,10,0,0,0,0,0,360,5,0,12,0,0,0,712101,4.166041197426969,2.947038460463525,10.36996336996337
L9,40-50 cm,0,52747,183477,0,0,11600,9389,2943,49,61,204,25907,0,21,14,48,8,0,76,60,19,312,8,0,0,0,0,0,331,0,0,12,10,0,0,717223,3.938470510801971,2.771763937226568,9.432692307692308
L9,50-60 cm,4970,50331,186260,0,0,11282,17257,2911,40,61,213,24878,0,26,15,48,7,0,74,64,18,331,9,0,0,0,0,0,220,4,0,12,12,0,0,705297,4.190132641071875,2.9402392951298078,8.794561933534743
L9,60-70 cm,0,45530,176399,0,0,10685,28018,2774,44,49,223,22399,0,22,13,41,7,0,71,72,17,304,8,0,0,0,0,0,280,6,0,11,0,0,0,716933,4.386743084920643,3.0761125349532623,9.125
L9,70-80 cm,0,39682,161448,0,0,9809,43161,2698,38,63,212,20593,0,24,15,38,6,0,65,83,17,294,9,0,0,0,0,0,263,6,0,11,0,0,0,725064,4.606624873904667,3.1710179222020547,9.17687074829932
L9,80-90 cm,0,37630,157993,0,0,9558,56836,2511,0,70,180,19186,0,21,13,36,6,0,62,101,19,341,8,0,0,0,0,0,207,5,0,11,9,0,0,718551,4.753870631543123,3.2904823009682014,7.363636363636363
L9,90-100 cm,0,37023,154499,0,0,9099,56992,2397,0,63,190,18514,0,23,14,35,5,0,59,101,16,288,9,3,0,0,0,0,370,6,0,10,0,0,0,723521,4.724956313401621,3.291341876611313,8.322916666666666
L10,0-10 cm,0,48830,210814,0,0,11089,2860,3012,40,44,229,18928,0,17,12,34,6,0,58,49,15,310,8,0,0,0,0,0,268,4,0,10,0,0,0,706668,4.888284297072624,3.626892822194199,9.716129032258065
L10,10-20 cm,0,52054,198512,0,0,11173,2880,2919,47,56,241,23366,0,21,14,42,6,0,69,55,17,327,9,0,0,0,0,0,283,4,0,12,10,0,0,711960,4.3179378674169815,3.108253854855664,8.926605504587156
L10,20-30 cm,0,55013,201766,0,0,11789,3080,2919,36,64,215,25419,0,21,12,47,8,0,75,58,16,355,9,2,0,0,0,0,287,4,0,13,9,0,0,703216,4.1526601193716814,2.973641129589345,8.222535211267605
L10,30-40 cm,0,59180,194618,0,0,11951,3236,2975,43,65,201,27252,0,25,16,53,9,0,77,58,18,312,10,0,0,0,0,0,249,4,0,12,10,0,0,704380,3.7235035825319853,2.673307488793658,9.53525641025641
L10,40-50 cm,0,56831,186373,0,0,10963,3058,2958,43,59,166,26604,0,21,14,46,7,0,74,54,17,278,9,0,0,0,0,0,206,5,0,13,0,0,0,716840,3.713140902340469,2.6518825553258276,10.640287769784173
L10,50-60 cm,0,58064,191827,0,0,11658,3126,2826,0,66,154,25133,0,22,14,44,7,0,73,55,18,329,9,0,0,0,0,0,378,5,0,12,7,0,0,710558,3.740645185665444,2.7293725391196526,8.589665653495441
L10,60-70 cm,3173,58543,200915,0,0,11883,3109,2862,45,51,126,23212,0,20,14,38,7,0,68,52,16,318,9,0,0,0,0,0,269,5,0,11,0,0,0,699302,3.885806044886295,2.8929546916065374,9
L10,70-80 cm,3976,55765,195564,0,0,11047,3040,2340,0,51,140,22397,0,18,15,39,6,0,64,50,15,308,8,0,0,0,0,0,309,5,0,11,0,0,0,708739,3.9707352994310834,2.961096273461698,7.597402597402597
L10,80-90 cm,4000,54316,195162,0,0,11663,3153,2659,0,61,151,21338,0,18,14,36,6,0,62,50,16,325,7,3,0,0,0,0,192,4,0,10,0,0,0,710479,4.068283526089574,3.034906984716554,8.181538461538462
L10,90-100 cm,0,52916,206296,0,0,11280,2941,2473,0,55,251,19141,0,21,11,32,6,0,59,49,14,338,8,2,0,0,0,0,274,3,0,9,9,0,0,707154,4.4141545129726545,3.3568109861066784,7.316568047337278
L11,0-10 cm,0,52188,207854,0,0,13270,4015,3123,0,74,287,21418,0,21,14,43,7,0,64,56,17,349,8,0,0,0,0,0,378,5,0,13,7,0,0,700531,4.50953191163554,3.3075826719176322,8.948424068767908
L11,10-20 cm,0,50161,210747,0,0,12203,3281,3150,47,57,288,21031,0,18,11,39,6,0,65,59,17,353,9,0,0,0,0,0,397,5,0,13,8,0,0,701705,4.7570634802158525,3.465444087373645,8.923512747875353
L11,20-30 cm,0,51062,197388,0,0,11619,3299,3192,48,81,322,24173,0,21,18,45,7,0,70,59,18,280,8,3,0,0,0,0,416,4,0,14,8,0,0,712068,4.3769003298192874,3.0966614454483397,11.4
L11,30-40 cm,0,56363,190901,0,0,11443,3315,2976,49,57,248,26140,0,24,18,49,8,0,71,52,18,261,9,0,0,0,0,0,400,5,0,12,8,0,0,712131,3.8349334700968005,2.7440086888625834,11.402298850574713
L11,40-50 cm,0,61431,186874,0,0,11812,3600,2898,37,67,232,31413,0,28,17,59,9,0,86,58,18,280,9,0,0,0,0,0,404,5,0,14,0,0,0,706125,3.4443321727229512,2.410987767654532,10.35
L11,50-60 cm,2946,61749,178078,0,0,11800,3568,3101,52,61,217,33653,0,30,17,62,10,0,92,60,19,269,11,0,0,0,0,0,420,5,0,14,0,0,0,709629,3.2653073984158745,2.24151140365143,11.527881040892193
L11,60-70 cm,0,60035,184902,0,0,11632,3300,3161,44,74,226,29517,0,26,16,54,8,0,83,58,20,303,10,0,0,0,0,0,331,4,0,14,10,0,0,711320,3.487231872957516,2.4583333957369597,10.432343234323433
L11,70-80 cm,0,55390,194087,0,0,11111,3001,2903,62,55,248,24825,0,21,13,45,8,0,72,53,19,371,10,0,0,0,0,0,339,7,0,12,8,0,0,711670,3.967425804710813,2.86369581034514,7.824797843665769
L11,80-90 cm,0,54545,198996,0,0,12330,3233,3470,54,68,295,24876,0,23,16,46,8,0,72,60,19,389,9,0,0,0,0,0,203,4,0,13,11,0,0,705601,4.130790146117971,2.94787061871569,8.920308483290489
L11,90-100 cm,3198,53088,197436,0,0,11358,3050,2957,0,62,267,22593,0,20,12,40,7,0,65,53,15,306,8,0,0,0,0,0,315,6,0,12,0,0,0,709076,4.210888201038242,3.0709102033641376,9.663398692810457
L12,0-10 cm,0,49359,207949,0,0,12708,4348,2921,51,57,269,21091,0,19,14,44,7,0,65,57,17,349,9,2,0,0,9,0,381,0,0,12,8,0,0,703936,4.770173939945119,3.4677222473413862,8.369627507163324
L12,10-20 cm,0,52060,206155,0,0,12768,7309,3302,53,68,247,22440,0,20,14,45,7,0,69,57,18,342,8,0,0,0,0,0,338,4,0,12,8,0,0,698573,4.483667930137757,3.243918233533613,9.654970760233919
L12,20-30 cm,0,46789,169967,0,0,10800,25291,2845,42,69,202,24986,0,28,14,46,8,0,74,69,21,327,9,0,0,0,0,0,306,0,0,12,0,0,0,722456,4.113055571637517,2.821449819175206,8.700305810397554
L12,30-40 cm,0,41539,159326,0,0,9824,55718,2792,44,62,165,23250,0,25,15,45,7,0,72,82,18,313,8,0,0,0,0,0,320,5,0,12,0,0,0,710415,4.342845181356146,2.9286401770413786,8.920127795527156
L12,40-50 cm,0,18883,80814,0,0,5185,164345,1736,0,62,91,14771,0,17,8,26,5,0,47,141,13,242,6,0,0,0,0,0,0,8,0,9,0,0,0,716176,4.845731449037667,2.896259360962764,7.1735537190082646
