Color Name,Description,Time Stamp,L,A,B,L,C,H,X,Y,Z,R,G,B,HEX,C,M,Y,K,ACES-R,ACES-G,ACES-B,ACEScg-R,ACEScg-G,ACEScg-B,Lin.sRGB-R,Lin.sRGB-G,Lin.sRGB-B
R3 70-80,,,61.44333333,1.433333333,11.63333333,61.44333333,11.72333333,82.98,29.1,29.79666667,18.70666667,157,147,128,,0.396666667,0.366666667,0.5,0.036666667,0.299,0.289066667,0.2263,0.316933333,0.294566667,0.226533333,0.338366667,0.292366667,0.2156
R3 80-90,,,62.86333333,1.306666667,11.13666667,62.86333333,11.22,83.30666667,30.67,31.44666667,20.08333333,160.3333333,151,132.3333333,,0.386666667,0.353333333,0.48,0.026666667,0.3153,0.3057,0.243,0.333133333,0.311233333,0.2432,0.354233333,0.3091,0.2323
R3 90-100,,,66.30666667,0.87,11.13333333,66.30666667,11.17,85.54666667,34.70666667,35.73,23.07666667,168.6666667,160.3333333,141.3333333,,0.356666667,0.32,0.446666667,0.01,0.356933333,0.348366667,0.279166667,0.375666667,0.3546,0.2794,0.396733333,0.352666667,0.2674
R4 0-10,,,55.17666667,2.38,12.27333333,55.17666667,12.50333333,79.02,22.8,23.10333333,13.89666667,142.3333333,130.3333333,111,,0.436666667,0.423333333,0.56,0.093333333,0.233933333,0.222233333,0.1681,0.2509,0.2267,0.1683,0.272766667,0.2242,0.158833333
R4 10-20,,,58.37333333,1.133333333,11.08333333,58.37333333,11.14333333,84.14333333,25.69,26.36,16.59,148.3333333,139.3333333,121,,0.426666667,0.39,0.52,0.06,0.264033333,0.256133333,0.2007,0.2795,0.261,0.2009,0.2975,0.259233333,0.191266667
R4 20-30,,,61.64,1.21,11.37666667,61.64,11.44333333,83.94,29.22333333,29.98333333,18.95333333,157,147.6666667,128.6666667,,0.4,0.363333333,0.493333333,0.033333333,0.300333333,0.291366667,0.229266667,0.317766667,0.296866667,0.229533333,0.338066667,0.294833333,0.218733333
R4 30-40,,,59.36,1.126666667,10.76333333,59.36,10.82333333,84.03,26.73,27.43666667,17.46333333,150.6666667,142,124.3333333,,0.42,0.38,0.51,0.05,0.274766667,0.2668,0.2113,0.2903,0.2717,0.211533333,0.308366667,0.269933333,0.201833333
R4 40-50,,,60.38666667,0.983333333,10.85,60.38666667,10.9,84.85333333,27.79666667,28.57333333,18.21666667,153,144.3333333,126.3333333,,0.413333333,0.37,0.5,0.04,0.285766667,0.2781,0.220433333,0.3016,0.283266667,0.220633333,0.319766667,0.281533333,0.2106
R4 50-60,,,57.59333333,2.033333333,11.61333333,57.59333333,11.8,80.05666667,25.09333333,25.53666667,15.79666667,148.3333333,136.6666667,118,,0.423333333,0.403333333,0.533333333,0.07,0.257733333,0.246633333,0.1911,0.2747,0.251333333,0.191333333,0.296133333,0.248933333,0.1816
R4 60-70,,,57.89,2.72,12.06333333,57.89,12.37,77.30666667,25.59,25.87,15.84,150.3333333,137,118.3333333,,0.413333333,0.406666667,0.533333333,0.063333333,0.262733333,0.248833333,0.191633333,0.2813,0.2535,0.1919,0.306033333,0.250533333,0.1818
R4 70-80,,,57.69333333,2.816666667,12.64666667,57.69333333,12.96,77.45666667,25.41666667,25.67,15.47,150,136.3333333,116.6666667,,0.416666667,0.403333333,0.54,0.07,0.260833333,0.246533333,0.1871,0.280033333,0.251366667,0.1874,0.3056,0.2483,0.1769
R4 80-90,,,58.11333333,1.42,10.49666667,58.11333333,10.59666667,82.28666667,25.49,26.08666667,16.64333333,147.6666667,138,121.3333333,,0.426666667,0.393333333,0.52,0.063333333,0.262033333,0.253366667,0.201433333,0.277133333,0.2579,0.2016,0.295333333,0.255966667,0.192533333
R4 90-100,,,62.46,0.913333333,9.21,62.46,9.266666667,84.29,30.08333333,30.94666667,20.67,158,150,135,,0.4,0.356666667,0.463333333,0.023333333,0.3097,0.302433333,0.2501,0.3242,0.3071,0.2503,0.341033333,0.305466667,0.2412
R5 0-10,,,53.48,2.72,11.86,53.48,12.16666667,77.08333333,21.29,21.49,12.97333333,138.6666667,125.6666667,107.3333333,,0.446666667,0.436666667,0.566666667,0.11,0.218533333,0.206366667,0.1569,0.2346,0.210333333,0.157133333,0.256166667,0.207733333,0.1484
R5 10-20,,,55.21666667,1.513333333,10.39333333,55.21666667,10.50666667,81.74,22.68,23.17666667,14.67666667,140.3333333,131,114,,0.45,0.416666667,0.54,0.09,0.233033333,0.224833333,0.177566667,0.246933333,0.2289,0.177733333,0.263933333,0.227066667,0.1695
R5 20-30,,,55.32,1.253333333,10.13,55.32,10.22,83.01,22.68666667,23.24666667,14.82,140.3333333,131.6666667,115,,0.456666667,0.416666667,0.533333333,0.083333333,0.2332,0.225866667,0.1793,0.246533333,0.2299,0.1795,0.262433333,0.2283,0.171366667
R5 30-40,,,61.49666667,0.983333333,10.43333333,61.49666667,10.48666667,84.56666667,29.04333333,29.85666667,19.3,156,147.6666667,130,,0.403333333,0.363333333,0.486666667,0.033333333,0.298633333,0.290933333,0.233533333,0.314533333,0.296033333,0.233733333,0.3327,0.2943,0.223733333
R5 40-50,,,64.54333333,0.463333333,9.916666667,64.54333333,9.933333333,87.30333333,32.44333333,33.51333333,22.14666667,163,156,138.6666667,,0.38,0.333333333,0.453333333,0.02,0.3339,0.3279,0.267966667,0.3495,0.3334,0.2682,0.366266667,0.331966667,0.257766667
R5 50-60,,,65.62333333,0.506666667,10.28,65.62333333,10.29333333,87.18666667,33.73666667,34.84,22.9,166,159,141,,0.366666667,0.326666667,0.443333333,0.01,0.347166667,0.3407,0.277066667,0.363733333,0.346533333,0.277266667,0.381633333,0.345033333,0.266266667
R5 60-70,,,69.83666667,0.62,10.78666667,69.83666667,10.80666667,86.68666667,39.26666667,40.52,26.64333333,178,169.6666667,151,,0.316666667,0.286666667,0.403333333,0,0.404033333,0.396066667,0.3224,0.423466667,0.402833333,0.322633333,0.4447,0.400966667,0.309866667
R5 70-80,,,76.01,0.306666667,11.69333333,76.01,11.69333333,88.49333333,48.24333333,49.91333333,32.74,194.6666667,186.6666667,166,,0.246666667,0.22,0.343333333,0,0.496366667,0.488466667,0.396133333,0.519766667,0.4971,0.396433333,0.544133333,0.495233333,0.380466667
R5 80-90,,,71.25333333,0.166666667,11.84,71.25333333,11.84333333,89.27333333,41.16666667,42.63666667,27.5,181.3333333,174,153,,0.306666667,0.266666667,0.403333333,0.003333333,0.4234,0.4169,0.332766667,0.4444,0.4248,0.333,0.465833333,0.4232,0.3185
R5 90-100,,,68.07666667,0.26,11.41,68.07666667,11.41333333,88.70666667,36.82,38.10333333,24.58,172.6666667,165,145.3333333,,0.34,0.3,0.43,0.003333333,0.378666667,0.372466667,0.2974,0.3976,0.379466667,0.297633333,0.4172,0.377966667,0.284666667
R6 0-10,,,54.31,2.75,11.73333333,54.31,12.05333333,76.83,22.10666667,22.31666667,13.56666667,140.6666667,128,109.6666667,,0.446666667,0.433333333,0.563333333,0.103333333,0.2269,0.214366667,0.1641,0.243366667,0.218433333,0.1643,0.265433333,0.215766667,0.155466667
R6 10-20,,,58.69333333,1.436666667,11.4,58.69333333,11.49333333,82.84333333,26.11,26.72,16.69333333,150,139.6666667,121,,0.416666667,0.39,0.52,0.06,0.268233333,0.259033333,0.2019,0.284633333,0.264,0.202133333,0.304333333,0.262,0.192166667
R6 20-30,,,61.12,0.536666667,9.726666667,61.12,9.74,86.87666667,28.52333333,29.44,19.34666667,153.6666667,146.6666667,130.3333333,,0.41,0.363333333,0.483333333,0.036666667,0.293466667,0.2878,0.234133333,0.3076,0.292733333,0.234333333,0.3229,0.2914,0.225033333
R6 30-40,,,62.60333333,0.96,10.29,62.60333333,10.33666667,84.67333333,30.28,31.13666667,20.27333333,159,150.3333333,133.3333333,,0.396666667,0.356666667,0.473333333,0.03,0.311466667,0.3036,0.2453,0.3275,0.308833333,0.245533333,0.345966667,0.307066667,0.2354
R6 40-50,,,61.81,0.916666667,10.46666667,61.81,10.51,84.97666667,29.36666667,30.21,19.54333333,156.6666667,148.3333333,130.6666667,,0.403333333,0.36,0.48,0.03,0.302033333,0.294433333,0.236466667,0.3179,0.299666667,0.236633333,0.336033333,0.2979,0.2266
R6 50-60,,,63.94333333,0.886666667,11.10333333,63.94333333,11.13666667,85.43,31.81333333,32.74,21.00333333,162.6666667,153.6666667,135.3333333,,0.38,0.34,0.47,0.02,0.3271,0.319,0.254133333,0.3447,0.324866667,0.254333333,0.364566667,0.323,0.2431
R6 60-70,,,64.20333333,0.73,9.983333333,64.20333333,10.01666667,85.85,32.08,33.06,21.78666667,162.6666667,154.3333333,138,,0.38,0.336666667,0.453333333,0.02,0.3301,0.323,0.263633333,0.346066667,0.328366667,0.263833333,0.363933333,0.326733333,0.253533333
R6 70-80,,,63.57666667,0.716666667,11.16,63.57666667,11.18,86.33,31.35333333,32.31333333,20.68,161,153,134,,0.383333333,0.343333333,0.473333333,0.02,0.322333333,0.315,0.2502,0.3396,0.3209,0.2504,0.358633333,0.319233333,0.239166667
